"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"17031010100","Census Tract 101, Cook County, Illinois",4599,32474,1853,2045,0,46,0,523,40.3,44.5,0,1,0,11.4,59.7,2363,497,1866,21.03,78.97,16,481,55,1811,71,2292,3.2,2.9,3,"50% - 75% P.O.C.","Less than $49000"
"17031010201","Census Tract 102.01, Cook County, Illinois",7455,45639,2328,2481,15,287,0,1671,31.2,33.3,0.2,3.8,0,22.4,68.8,2747,691,2056,25.15,74.85,28,663,315,1741,343,2404,4.1,15.3,12.5,"50% - 75% P.O.C.","Less than $49000"
"17031010202","Census Tract 102.02, Cook County, Illinois",2896,41486,879,974,0,155,0,753,30.4,33.6,0,5.4,0,26,69.6,1136,259,877,22.8,77.2,30,229,83,794,113,1023,11.6,9.5,9.9,"50% - 75% P.O.C.","Less than $49000"
"17031010300","Census Tract 103, Cook County, Illinois",6485,41250,3051,1995,6,66,7,1099,47,30.8,0.1,1,0.1,16.9,53,3091,1042,2049,33.71,66.29,19,1023,0,2049,19,3072,1.8,0,0.6,"50% - 75% P.O.C.","Less than $49000"
"17031010400","Census Tract 104, Cook County, Illinois",5213,39700,3361,1104,0,241,0,392,64.5,21.2,0,4.6,0,7.5,35.5,1988,422,1566,21.23,78.77,5,417,53,1513,58,1930,1.2,3.4,2.9,"25% - 50% P.O.C.","Less than $49000"
"17031010501","Census Tract 105.01, Cook County, Illinois",4102,39730,1902,1358,0,233,0,387,46.4,33.1,0,5.7,0,9.4,53.6,2374,321,2053,13.52,86.48,17,304,0,2053,17,2357,5.3,0,0.7,"50% - 75% P.O.C.","Less than $49000"
"17031010502","Census Tract 105.02, Cook County, Illinois",3089,39388,1610,669,0,262,0,465,52.1,21.7,0,8.5,0,15.1,47.9,1572,339,1233,21.56,78.44,19,320,49,1184,68,1504,5.6,4,4.3,"25% - 50% P.O.C.","Less than $49000"
"17031010503","Census Tract 105.03, Cook County, Illinois",1806,18516,1204,255,0,225,0,54,66.7,14.1,0,12.5,0,3,33.3,1059,189,870,17.85,82.15,0,189,20,850,20,1039,0,2.3,1.9,"25% - 50% P.O.C.","Less than $49000"
"17031010600","Census Tract 106, Cook County, Illinois",6395,50882,3335,1139,0,204,0,1536,52.2,17.8,0,3.2,0,24,47.8,2933,647,2286,22.06,77.94,25,622,113,2173,138,2795,3.9,4.9,4.7,"25% - 50% P.O.C.","$49000 - $70000"
"17031010701","Census Tract 107.01, Cook County, Illinois",3620,60167,1489,849,0,310,0,943,41.1,23.5,0,8.6,0,26,58.9,1512,724,788,47.88,52.12,80,644,34,754,114,1398,11,4.3,7.5,"50% - 75% P.O.C.","$49000 - $70000"
"17031010702","Census Tract 107.02, Cook County, Illinois",5082,44583,1636,1599,0,361,0,1377,32.2,31.5,0,7.1,0,27.1,67.8,2083,480,1603,23.04,76.96,41,439,267,1336,308,1775,8.5,16.7,14.8,"50% - 75% P.O.C.","Less than $49000"
"17031020100","Census Tract 201, Cook County, Illinois",3618,48841,1134,1206,0,171,0,935,31.3,33.3,0,4.7,0,25.8,68.7,1504,662,842,44.02,55.98,48,614,85,757,133,1371,7.3,10.1,8.8,"50% - 75% P.O.C.","Less than $49000"
"17031020200","Census Tract 202, Cook County, Illinois",6840,94115,3294,711,0,1280,0,1246,48.2,10.4,0,18.7,0,18.2,51.8,2069,1599,470,77.28,22.72,332,1267,28,442,360,1709,20.8,6,17.4,"50% - 75% P.O.C.","$70000 - $98000"
"17031020301","Census Tract 203.01, Cook County, Illinois",5384,56973,4041,196,11,596,0,378,75.1,3.6,0.2,11.1,0,7,24.9,2093,1528,565,73.01,26.99,291,1237,55,510,346,1747,19,9.7,16.5,"Less than 25% P.O.C.","$49000 - $70000"
"17031020302","Census Tract 203.02, Cook County, Illinois",5137,77500,2996,497,0,677,0,697,58.3,9.7,0,13.2,0,13.6,41.7,1726,1038,688,60.14,39.86,131,907,59,629,190,1536,12.6,8.6,11,"25% - 50% P.O.C.","$70000 - $98000"
"17031020400","Census Tract 204, Cook County, Illinois",4258,65917,1642,980,0,554,0,887,38.6,23,0,13,0,20.8,61.4,1675,924,751,55.16,44.84,66,858,62,689,128,1547,7.1,8.3,7.6,"50% - 75% P.O.C.","$49000 - $70000"
"17031020500","Census Tract 205, Cook County, Illinois",6775,44926,901,900,0,2749,0,1708,13.3,13.3,0,40.6,0,25.2,86.7,2094,539,1555,25.74,74.26,119,420,273,1282,392,1702,22.1,17.6,18.7,"75% or more P.O.C.","Less than $49000"
"17031020601","Census Tract 206.01, Cook County, Illinois",6525,38177,3685,356,66,1807,0,340,56.5,5.5,1,27.7,0,5.2,43.5,1959,896,1063,45.74,54.26,176,720,303,760,479,1480,19.6,28.5,24.5,"25% - 50% P.O.C.","Less than $49000"
"17031020602","Census Tract 206.02, Cook County, Illinois",4765,57045,1765,625,0,1082,0,1203,37,13.1,0,22.7,0,25.2,63,1394,608,786,43.62,56.38,42,566,283,503,325,1069,6.9,36,23.3,"50% - 75% P.O.C.","$49000 - $70000"
"17031020701","Census Tract 207.01, Cook County, Illinois",1844,97250,1217,80,0,304,0,212,66,4.3,0,16.5,0,11.5,34,677,455,222,67.21,32.79,36,419,12,210,48,629,7.9,5.4,7.1,"25% - 50% P.O.C.","$70000 - $98000"
"17031020702","Census Tract 207.02, Cook County, Illinois",8226,49167,2965,698,0,1997,0,2475,36,8.5,0,24.3,0,30.1,64,2396,750,1646,31.3,68.7,69,681,369,1277,438,1958,9.2,22.4,18.3,"50% - 75% P.O.C.","$49000 - $70000"
"17031020801","Census Tract 208.01, Cook County, Illinois",6175,54052,2290,187,0,1775,0,1529,37.1,3,0,28.7,0,24.8,62.9,2213,1011,1202,45.68,54.32,88,923,152,1050,240,1973,8.7,12.6,10.8,"50% - 75% P.O.C.","$49000 - $70000"
"17031020802","Census Tract 208.02, Cook County, Illinois",7916,46219,2593,568,134,2712,0,977,32.8,7.2,1.7,34.3,0,12.3,67.2,2315,710,1605,30.67,69.33,147,563,577,1028,724,1591,20.7,36,31.3,"50% - 75% P.O.C.","Less than $49000"
"17031020901","Census Tract 209.01, Cook County, Illinois",6155,52254,1448,1426,0,1588,0,1352,23.5,23.2,0,25.8,0,22,76.5,1950,640,1310,32.82,67.18,107,533,248,1062,355,1595,16.7,18.9,18.2,"75% or more P.O.C.","$49000 - $70000"
"17031020902","Census Tract 209.02, Cook County, Illinois",4848,39484,1865,656,0,1358,0,896,38.5,13.5,0,28,0,18.5,61.5,1649,886,763,53.73,46.27,104,782,63,700,167,1482,11.7,8.3,10.1,"50% - 75% P.O.C.","Less than $49000"
"17031030101","Census Tract 301.01, Cook County, Illinois",3911,48207,1435,1017,0,625,0,715,36.7,26,0,16,0,18.3,63.3,2035,727,1308,35.72,64.28,0,727,143,1165,143,1892,0,10.9,7,"50% - 75% P.O.C.","Less than $49000"
"17031030102","Census Tract 301.02, Cook County, Illinois",2841,42123,1394,527,16,386,0,317,49.1,18.5,0.6,13.6,0,11.2,50.9,1864,662,1202,35.52,64.48,0,662,12,1190,12,1852,0,1,0.6,"50% - 75% P.O.C.","Less than $49000"
"17031030103","Census Tract 301.03, Cook County, Illinois",2242,57985,1189,443,0,248,4,246,53,19.8,0,11.1,0.2,11,47,885,229,656,25.88,74.12,0,229,0,656,0,885,0,0,0,"25% - 50% P.O.C.","$49000 - $70000"
"17031030104","Census Tract 301.04, Cook County, Illinois",3411,35988,2217,272,0,544,0,299,65,8,0,15.9,0,8.8,35,1050,423,627,40.29,59.71,0,423,0,627,0,1050,0,0,0,"25% - 50% P.O.C.","Less than $49000"
"17031030200","Census Tract 302, Cook County, Illinois",5702,74434,4356,303,0,223,0,660,76.4,5.3,0,3.9,0,11.6,23.6,2610,1312,1298,50.27,49.73,77,1235,17,1281,94,2516,5.9,1.3,3.6,"Less than 25% P.O.C.","$70000 - $98000"
"17031030300","Census Tract 303, Cook County, Illinois",3676,41109,1266,560,19,510,0,1158,34.4,15.2,0.5,13.9,0,31.5,65.6,1513,459,1054,30.34,69.66,58,401,92,962,150,1363,12.6,8.7,9.9,"50% - 75% P.O.C.","Less than $49000"
"17031030400","Census Tract 304, Cook County, Illinois",2631,57500,1514,73,28,186,0,712,57.5,2.8,1.1,7.1,0,27.1,42.5,1318,496,822,37.63,62.37,10,486,12,810,22,1296,2,1.5,1.7,"25% - 50% P.O.C.","$49000 - $70000"
"17031030500","Census Tract 305, Cook County, Illinois",6786,90955,4171,375,0,360,14,1525,61.5,5.5,0,5.3,0.2,22.5,38.5,2932,1425,1507,48.6,51.4,92,1333,0,1507,92,2840,6.5,0,3.1,"25% - 50% P.O.C.","$70000 - $98000"
"17031030601","Census Tract 306.01, Cook County, Illinois",3353,34861,1464,593,0,746,0,501,43.7,17.7,0,22.2,0,14.9,56.3,1701,407,1294,23.93,76.07,0,407,18,1276,18,1683,0,1.4,1.1,"50% - 75% P.O.C.","Less than $49000"
"17031030603","Census Tract 306.03, Cook County, Illinois",2410,42059,985,437,39,363,0,532,40.9,18.1,1.6,15.1,0,22.1,59.1,1470,161,1309,10.95,89.05,7,154,25,1284,32,1438,4.3,1.9,2.2,"50% - 75% P.O.C.","Less than $49000"
"17031030604","Census Tract 306.04, Cook County, Illinois",3763,47500,1809,748,0,844,0,222,48.1,19.9,0,22.4,0,5.9,51.9,2362,706,1656,29.89,70.11,0,706,11,1645,11,2351,0,0.7,0.5,"50% - 75% P.O.C.","Less than $49000"
"17031030701","Census Tract 307.01, Cook County, Illinois",1625,39464,758,437,15,173,0,208,46.6,26.9,0.9,10.6,0,12.8,53.4,906,188,718,20.75,79.25,12,176,11,707,23,883,6.4,1.5,2.5,"50% - 75% P.O.C.","Less than $49000"
"17031030702","Census Tract 307.02, Cook County, Illinois",2211,58299,1370,43,0,609,0,116,62,1.9,0,27.5,0,5.2,38,1473,885,588,60.08,39.92,6,879,0,588,6,1467,0.7,0,0.4,"25% - 50% P.O.C.","$49000 - $70000"
"17031030703","Census Tract 307.03, Cook County, Illinois",2947,43553,1761,531,0,108,0,473,59.8,18,0,3.7,0,16.1,40.2,1808,483,1325,26.71,73.29,0,483,5,1320,5,1803,0,0.4,0.3,"25% - 50% P.O.C.","Less than $49000"
"17031030706","Census Tract 307.06, Cook County, Illinois",2845,43512,1638,426,0,569,0,193,57.6,15,0,20,0,6.8,42.4,1967,688,1279,34.98,65.02,0,688,14,1265,14,1953,0,1.1,0.7,"25% - 50% P.O.C.","Less than $49000"
"17031030800","Census Tract 308, Cook County, Illinois",4169,95688,3086,126,0,398,0,469,74,3,0,9.5,0,11.2,26,1950,875,1075,44.87,55.13,95,780,0,1075,95,1855,10.9,0,4.9,"25% - 50% P.O.C.","$70000 - $98000"
"17031030900","Census Tract 309, Cook County, Illinois",3126,107148,2217,185,0,277,0,327,70.9,5.9,0,8.9,0,10.5,29.1,1431,733,698,51.22,48.78,39,694,0,698,39,1392,5.3,0,2.7,"25% - 50% P.O.C.","$98000 or more"
"17031031000","Census Tract 310, Cook County, Illinois",3907,82902,2696,187,0,359,0,602,69,4.8,0,9.2,0,15.4,31,1998,778,1220,38.94,61.06,20,758,19,1201,39,1959,2.6,1.6,2,"25% - 50% P.O.C.","$70000 - $98000"
"17031031100","Census Tract 311, Cook County, Illinois",4720,78822,3177,176,0,523,0,660,67.3,3.7,0,11.1,0,14,32.7,2329,652,1677,27.99,72.01,19,633,31,1646,50,2279,2.9,1.8,2.1,"25% - 50% P.O.C.","$70000 - $98000"
"17031031200","Census Tract 312, Cook County, Illinois",6359,41389,2034,1403,20,1074,0,1622,32,22.1,0.3,16.9,0,25.5,68,2846,707,2139,24.84,75.16,0,707,161,1978,161,2685,0,7.5,5.7,"50% - 75% P.O.C.","Less than $49000"
"17031031300","Census Tract 313, Cook County, Illinois",7775,39064,3625,1648,16,1548,0,817,46.6,21.2,0.2,19.9,0,10.5,53.4,4225,1355,2870,32.07,67.93,32,1323,52,2818,84,4141,2.4,1.8,2,"50% - 75% P.O.C.","Less than $49000"
"17031031400","Census Tract 314, Cook County, Illinois",4964,70237,3337,356,11,626,0,472,67.2,7.2,0.2,12.6,0,9.5,32.8,3105,1730,1375,55.72,44.28,0,1730,0,1375,0,3105,0,0,0,"25% - 50% P.O.C.","$70000 - $98000"
"17031031501","Census Tract 315.01, Cook County, Illinois",4474,36917,1595,1401,0,750,0,640,35.7,31.3,0,16.8,0,14.3,64.3,1916,341,1575,17.8,82.2,14,327,30,1545,44,1872,4.1,1.9,2.3,"50% - 75% P.O.C.","Less than $49000"
"17031031502","Census Tract 315.02, Cook County, Illinois",4628,28403,1634,1714,0,141,0,1008,35.3,37,0,3,0,21.8,64.7,2375,338,2037,14.23,85.77,0,338,98,1939,98,2277,0,4.8,4.1,"50% - 75% P.O.C.","Less than $49000"
"17031031700","Census Tract 317, Cook County, Illinois",6785,56448,4267,1544,173,178,0,532,62.9,22.8,2.5,2.6,0,7.8,37.1,3617,1232,2385,34.06,65.94,30,1202,104,2281,134,3483,2.4,4.4,3.7,"25% - 50% P.O.C.","$49000 - $70000"
"17031031800","Census Tract 318, Cook County, Illinois",1889,84758,1393,54,0,165,0,237,73.7,2.9,0,8.7,0,12.5,26.3,978,443,535,45.3,54.7,15,428,6,529,21,957,3.4,1.1,2.1,"25% - 50% P.O.C.","$70000 - $98000"
"17031031900","Census Tract 319, Cook County, Illinois",2558,69265,1786,205,14,126,0,295,69.8,8,0.5,4.9,0,11.5,30.2,1270,436,834,34.33,65.67,10,426,9,825,19,1251,2.3,1.1,1.5,"25% - 50% P.O.C.","$49000 - $70000"
"17031032100","Census Tract 321, Cook County, Illinois",7106,64702,4871,312,0,489,0,1205,68.5,4.4,0,6.9,0,17,31.5,4043,1136,2907,28.1,71.9,26,1110,0,2907,26,4017,2.3,0,0.6,"25% - 50% P.O.C.","$49000 - $70000"
"17031040100","Census Tract 401, Cook County, Illinois",4139,96467,2560,253,15,170,0,1049,61.9,6.1,0.4,4.1,0,25.3,38.1,1648,827,821,50.18,49.82,36,791,52,769,88,1560,4.4,6.3,5.3,"25% - 50% P.O.C.","$70000 - $98000"
"17031040201","Census Tract 402.01, Cook County, Illinois",6814,73475,4043,284,1,530,0,1680,59.3,4.2,0,7.8,0,24.7,40.7,2994,1135,1859,37.91,62.09,39,1096,33,1826,72,2922,3.4,1.8,2.4,"25% - 50% P.O.C.","$70000 - $98000"
"17031040202","Census Tract 402.02, Cook County, Illinois",7634,47367,3501,369,0,1233,0,1870,45.9,4.8,0,16.2,0,24.5,54.1,2963,803,2160,27.1,72.9,74,729,197,1963,271,2692,9.2,9.1,9.1,"50% - 75% P.O.C.","Less than $49000"
"17031040300","Census Tract 403, Cook County, Illinois",2953,88125,1513,68,0,975,0,329,51.2,2.3,0,33,0,11.1,48.8,1081,680,401,62.9,37.1,42,638,0,401,42,1039,6.2,0,3.9,"25% - 50% P.O.C.","$70000 - $98000"
"17031040401","Census Tract 404.01, Cook County, Illinois",3250,105121,2094,114,0,152,0,763,64.4,3.5,0,4.7,0,23.5,35.6,1267,737,530,58.17,41.83,50,687,12,518,62,1205,6.8,2.3,4.9,"25% - 50% P.O.C.","$98000 or more"
"17031040402","Census Tract 404.02, Cook County, Illinois",5154,87479,3992,105,0,258,0,573,77.5,2,0,5,0,11.1,22.5,2551,902,1649,35.36,64.64,13,889,40,1609,53,2498,1.4,2.4,2.1,"Less than 25% P.O.C.","$70000 - $98000"
"17031040600","Census Tract 406, Cook County, Illinois",2607,90167,2021,105,0,46,0,331,77.5,4,0,1.8,0,12.7,22.5,1160,401,759,34.57,65.43,16,385,0,759,16,1144,4,0,1.4,"Less than 25% P.O.C.","$70000 - $98000"
"17031040700","Census Tract 407, Cook County, Illinois",3435,86125,2684,70,0,164,0,277,78.1,2,0,4.8,0,8.1,21.9,1566,709,857,45.27,54.73,31,678,25,832,56,1510,4.4,2.9,3.6,"Less than 25% P.O.C.","$70000 - $98000"
"17031040800","Census Tract 408, Cook County, Illinois",1691,85577,1213,56,0,49,0,248,71.7,3.3,0,2.9,0,14.7,28.3,776,354,422,45.62,54.38,6,348,5,417,11,765,1.7,1.2,1.4,"25% - 50% P.O.C.","$70000 - $98000"
"17031040900","Census Tract 409, Cook County, Illinois",1904,77250,1596,35,0,101,0,115,83.8,1.8,0,5.3,0,6,16.2,993,395,598,39.78,60.22,7,388,0,598,7,986,1.8,0,0.7,"Less than 25% P.O.C.","$70000 - $98000"
"17031050100","Census Tract 501, Cook County, Illinois",2736,113352,2156,97,44,171,0,173,78.8,3.5,1.6,6.2,0,6.3,21.2,1135,476,659,41.94,58.06,23,453,28,631,51,1084,4.8,4.2,4.5,"Less than 25% P.O.C.","$98000 or more"
"17031050200","Census Tract 502, Cook County, Illinois",5092,94821,4131,95,0,224,29,386,81.1,1.9,0,4.4,0.6,7.6,18.9,2078,1323,755,63.67,36.33,112,1211,0,755,112,1966,8.5,0,5.4,"Less than 25% P.O.C.","$70000 - $98000"
