"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"48015760100","Census Tract 7601, Austin County, Texas",2781,49705,1235,323,0,0,0,1116,44.4,11.6,0,0,0,40.1,55.6,983,661,322,67.24,32.76,128,533,56,266,184,799,19.4,17.4,18.7,"50% - 75% P.O.C.","$44000 - $59000"
"48015760200","Census Tract 7602, Austin County, Texas",5876,62128,3205,616,0,16,0,2008,54.5,10.5,0,0.3,0,34.2,45.5,2131,1775,356,83.29,16.71,251,1524,4,352,255,1876,14.1,1.1,12,"25% - 50% P.O.C.","$59000 - $86000"
"48015760300","Census Tract 7603, Austin County, Texas",6777,71550,3752,310,0,0,0,2500,55.4,4.6,0,0,0,36.9,44.6,2551,1732,819,67.89,32.11,241,1491,182,637,423,2128,13.9,22.2,16.6,"25% - 50% P.O.C.","$59000 - $86000"
"48015760400","Census Tract 7604, Austin County, Texas",4009,78263,2851,323,0,95,0,719,71.1,8.1,0,2.4,0,17.9,28.9,1558,1386,172,88.96,11.04,117,1269,52,120,169,1389,8.4,30.2,10.8,"25% - 50% P.O.C.","$59000 - $86000"
"48015760501","Census Tract 7605.01, Austin County, Texas",4894,89479,4122,154,0,0,0,473,84.2,3.1,0,0,0,9.7,15.8,1767,1596,171,90.32,9.68,143,1453,10,161,153,1614,9,5.8,8.7,"Less than 25% P.O.C.","$86000 or more"
"48015760502","Census Tract 7605.02, Austin County, Texas",5427,48226,3350,874,30,0,0,1173,61.7,16.1,0.6,0,0,21.6,38.3,2311,1463,848,63.31,36.69,46,1417,75,773,121,2190,3.1,8.8,5.2,"25% - 50% P.O.C.","$44000 - $59000"
"48039660100","Census Tract 6601, Brazoria County, Texas",5037,110179,2899,488,24,370,0,1033,57.6,9.7,0.5,7.3,0,20.5,42.4,1733,1505,228,86.84,13.16,230,1275,11,217,241,1492,15.3,4.8,13.9,"25% - 50% P.O.C.","$86000 or more"
"48039660200","Census Tract 6602, Brazoria County, Texas",6704,98819,3934,580,0,360,0,1808,58.7,8.7,0,5.4,0,27,41.3,2129,1713,416,80.46,19.54,168,1545,59,357,227,1902,9.8,14.2,10.7,"25% - 50% P.O.C.","$86000 or more"
"48039660300","Census Tract 6603, Brazoria County, Texas",11643,103323,7527,1148,36,340,0,2361,64.6,9.9,0.3,2.9,0,20.3,35.4,4002,2853,1149,71.29,28.71,313,2540,0,1149,313,3689,11,0,7.8,"25% - 50% P.O.C.","$86000 or more"
"48039660400","Census Tract 6604, Brazoria County, Texas",11429,98963,5962,1090,0,1150,0,3033,52.2,9.5,0,10.1,0,26.5,47.8,3988,2883,1105,72.29,27.71,534,2349,113,992,647,3341,18.5,10.2,16.2,"25% - 50% P.O.C.","$86000 or more"
"48039660500","Census Tract 6605, Brazoria County, Texas",9163,82588,4064,860,96,536,0,3542,44.4,9.4,1,5.8,0,38.7,55.6,3478,3009,469,86.52,13.48,373,2636,28,441,401,3077,12.4,6,11.5,"50% - 75% P.O.C.","$59000 - $86000"
"48039660601","Census Tract 6606.01, Brazoria County, Texas",13005,107012,5279,2615,367,2259,0,2104,40.6,20.1,2.8,17.4,0,16.2,59.4,4704,4195,509,89.18,10.82,462,3733,0,509,462,4242,11,0,9.8,"50% - 75% P.O.C.","$86000 or more"
"48039660602","Census Tract 6606.02, Brazoria County, Texas",49119,102239,10609,15968,0,10554,0,11114,21.6,32.5,0,21.5,0,22.6,78.4,15682,10361,5321,66.07,33.93,1866,8495,463,4858,2329,13353,18,8.7,14.9,"75% or more P.O.C.","$86000 or more"
"48039660701","Census Tract 6607.01, Brazoria County, Texas",15574,104840,5866,3426,41,2602,0,3134,37.7,22,0.3,16.7,0,20.1,62.3,5633,3456,2177,61.35,38.65,415,3041,54,2123,469,5164,12,2.5,8.3,"50% - 75% P.O.C.","$86000 or more"
"48039660702","Census Tract 6607.02, Brazoria County, Texas",15351,105083,7424,3619,0,1722,0,2458,48.4,23.6,0,11.2,0,16,51.6,5321,4023,1298,75.61,24.39,611,3412,0,1298,611,4710,15.2,0,11.5,"50% - 75% P.O.C.","$86000 or more"
"48039660801","Census Tract 6608.01, Brazoria County, Texas",9590,106415,4615,1674,113,138,0,3032,48.1,17.5,1.2,1.4,0,31.6,51.9,3260,2413,847,74.02,25.98,262,2151,106,741,368,2892,10.9,12.5,11.3,"50% - 75% P.O.C.","$86000 or more"
"48039660802","Census Tract 6608.02, Brazoria County, Texas",9038,112525,4073,1043,0,439,0,3348,45.1,11.5,0,4.9,0,37,54.9,2459,2242,217,91.18,8.82,577,1665,81,136,658,1801,25.7,37.3,26.8,"50% - 75% P.O.C.","$86000 or more"
