"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"06037101110","Census Tract 1011.10, Los Angeles County, California",4283,63534,2616,19,3,331,3,1188,61.1,0.4,0.1,7.7,0.1,27.7,38.9,1575,843,732,53.52,46.48,52,791,62,670,114,1461,6.2,8.5,7.2,"25% - 50% P.O.C.","$51000 - $70000"
"06037101122","Census Tract 1011.22, Los Angeles County, California",3405,90389,2882,74,15,220,0,147,84.6,2.2,0.4,6.5,0,4.3,15.4,1312,1072,240,81.71,18.29,38,1034,0,240,38,1274,3.5,0,2.9,"Less than 25% P.O.C.","$70000 - $95000"
"06037101210","Census Tract 1012.10, Los Angeles County, California",6347,44083,2986,198,0,486,0,2616,47,3.1,0,7.7,0,41.2,53,2297,401,1896,17.46,82.54,28,373,202,1694,230,2067,7,10.7,10,"50% - 75% P.O.C.","Less than $51000"
"06037101220","Census Tract 1012.20, Los Angeles County, California",3702,43713,1812,87,0,341,0,1364,48.9,2.4,0,9.2,0,36.8,51.1,1357,535,822,39.43,60.57,94,441,71,751,165,1192,17.6,8.6,12.2,"50% - 75% P.O.C.","Less than $51000"
"06037101300","Census Tract 1013, Los Angeles County, California",3884,81776,3126,205,0,194,0,297,80.5,5.3,0,5,0,7.6,19.5,1445,1255,190,86.85,13.15,73,1182,0,190,73,1372,5.8,0,5.1,"Less than 25% P.O.C.","$70000 - $95000"
"06037101400","Census Tract 1014, Los Angeles County, California",3458,75139,2271,9,13,409,0,591,65.7,0.3,0.4,11.8,0,17.1,34.3,1355,939,416,69.3,30.7,77,862,14,402,91,1264,8.2,3.4,6.7,"25% - 50% P.O.C.","$70000 - $95000"
"06037102103","Census Tract 1021.03, Los Angeles County, California",1763,76833,1106,25,0,224,0,355,62.7,1.4,0,12.7,0,20.1,37.3,692,461,231,66.62,33.38,33,428,5,226,38,654,7.2,2.2,5.5,"25% - 50% P.O.C.","$70000 - $95000"
"06037102104","Census Tract 1021.04, Los Angeles County, California",3721,80789,2568,73,0,351,8,512,69,2,0,9.4,0.2,13.8,31,1230,927,303,75.37,24.63,74,853,29,274,103,1127,8,9.6,8.4,"25% - 50% P.O.C.","$70000 - $95000"
"06037102105","Census Tract 1021.05, Los Angeles County, California",1905,57614,427,14,24,124,4,1283,22.4,0.7,1.3,6.5,0.2,67.3,77.6,559,302,257,54.03,45.97,88,214,17,240,105,454,29.1,6.6,18.8,"75% or more P.O.C.","$51000 - $70000"
"06037102107","Census Tract 1021.07, Los Angeles County, California",4349,109375,2605,69,6,398,0,1195,59.9,1.6,0.1,9.2,0,27.5,40.1,1345,957,388,71.15,28.85,115,842,74,314,189,1156,12,19.1,14.1,"25% - 50% P.O.C.","$95000 or more"
