"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"36005000100","Census Tract 1, Bronx County, New York",6864,NA,603,3601,18,181,0,2407,8.8,52.5,0.3,2.6,0,35.1,91.2,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,"75% or more P.O.C.","N/A"
"36005000200","Census Tract 2, Bronx County, New York",4532,51100,33,920,0,75,0,3444,0.7,20.3,0,1.7,0,76,99.3,1342,704,638,52.46,47.54,101,603,135,503,236,1106,14.3,21.2,17.6,"75% or more P.O.C.","Less than $55000"
"36005000400","Census Tract 4, Bronx County, New York",5516,78409,387,1264,0,121,0,3661,7,22.9,0,2.2,0,66.4,93,2042,1614,428,79.04,20.96,194,1420,0,428,194,1848,12,0,9.5,"75% or more P.O.C.","$78000 - $104000"
"36005001600","Census Tract 16, Bronx County, New York",5825,34093,213,2021,0,64,0,3452,3.7,34.7,0,1.1,0,59.3,96.3,1971,245,1726,12.43,87.57,22,223,206,1520,228,1743,9,11.9,11.6,"75% or more P.O.C.","Less than $55000"
"36005001900","Census Tract 19, Bronx County, New York",3141,45156,340,937,0,72,0,1714,10.8,29.8,0,2.3,0,54.6,89.2,1079,114,965,10.57,89.43,19,95,85,880,104,975,16.7,8.8,9.6,"75% or more P.O.C.","Less than $55000"
"36005002000","Census Tract 20, Bronx County, New York",9040,20592,21,3031,0,0,0,5912,0.2,33.5,0,0,0,65.4,99.8,3269,417,2852,12.76,87.24,111,306,308,2544,419,2850,26.6,10.8,12.8,"75% or more P.O.C.","Less than $55000"
"36005002300","Census Tract 23, Bronx County, New York",4302,18688,1,1192,16,0,0,3062,0,27.7,0.4,0,0,71.2,100,1914,0,1914,0,100,0,0,166,1748,166,1748,NA,8.7,8.7,"75% or more P.O.C.","Less than $55000"
"36005002400","Census Tract 24, Bronx County, New York",155,NA,65,90,0,0,0,0,41.9,58.1,0,0,0,0,58.1,38,0,38,0,100,0,0,0,38,0,38,NA,0,0,"50% - 75% P.O.C.","N/A"
"36005002500","Census Tract 25, Bronx County, New York",5610,23115,220,1355,0,6,0,3986,3.9,24.2,0,0.1,0,71.1,96.1,1977,72,1905,3.64,96.36,0,72,373,1532,373,1604,0,19.6,18.9,"75% or more P.O.C.","Less than $55000"
"36005002701","Census Tract 27.01, Bronx County, New York",2608,18832,0,643,0,0,0,1965,0,24.7,0,0,0,75.3,100,1043,0,1043,0,100,0,0,97,946,97,946,NA,9.3,9.3,"75% or more P.O.C.","Less than $55000"
"36005002702","Census Tract 27.02, Bronx County, New York",4560,13097,36,1917,20,0,0,2566,0.8,42,0.4,0,0,56.3,99.2,1520,56,1464,3.68,96.32,30,26,235,1229,265,1255,53.6,16.1,17.4,"75% or more P.O.C.","Less than $55000"
