"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"06019000100","Census Tract 1, Fresno County, California",3676,16621,737,421,49,177,11,2207,20,11.5,1.3,4.8,0.3,60,80,683,19,664,2.78,97.22,0,19,0,664,0,683,0,0,0,"75% or more P.O.C.","Less than $38000"
"06019000200","Census Tract 2, Fresno County, California",2689,25595,165,319,3,217,0,1981,6.1,11.9,0.1,8.1,0,73.7,93.9,760,181,579,23.82,76.18,60,121,140,439,200,560,33.1,24.2,26.3,"75% or more P.O.C.","Less than $38000"
"06019000300","Census Tract 3, Fresno County, California",4225,35254,222,950,11,104,19,2801,5.3,22.5,0.3,2.5,0.4,66.3,94.7,1118,406,712,36.31,63.69,102,304,239,473,341,777,25.1,33.6,30.5,"75% or more P.O.C.","Less than $38000"
"06019000400","Census Tract 4, Fresno County, California",5498,29219,436,160,12,600,0,4284,7.9,2.9,0.2,10.9,0,77.9,92.1,1245,609,636,48.92,51.08,229,380,305,331,534,711,37.6,48,42.9,"75% or more P.O.C.","Less than $38000"
"06019000501","Census Tract 5.01, Fresno County, California",2532,23717,207,177,0,64,35,2049,8.2,7,0,2.5,1.4,80.9,91.8,775,92,683,11.87,88.13,24,68,126,557,150,625,26.1,18.4,19.4,"75% or more P.O.C.","Less than $38000"
"06019000502","Census Tract 5.02, Fresno County, California",3594,37283,509,60,21,321,0,2624,14.2,1.7,0.6,8.9,0,73,85.8,1008,220,788,21.83,78.17,29,191,195,593,224,784,13.2,24.7,22.2,"75% or more P.O.C.","Less than $38000"
"06019000600","Census Tract 6, Fresno County, California",4750,22514,911,637,0,130,0,3035,19.2,13.4,0,2.7,0,63.9,80.8,1950,199,1751,10.21,89.79,76,123,83,1668,159,1791,38.2,4.7,8.2,"75% or more P.O.C.","Less than $38000"
"06019000700","Census Tract 7, Fresno County, California",3664,21151,95,707,10,311,0,2448,2.6,19.3,0.3,8.5,0,66.8,97.4,1123,481,642,42.83,57.17,105,376,117,525,222,901,21.8,18.2,19.8,"75% or more P.O.C.","Less than $38000"
"06019000800","Census Tract 8, Fresno County, California",1292,25083,205,112,7,62,0,903,15.9,8.7,0.5,4.8,0,69.9,84.1,419,72,347,17.18,82.82,39,33,57,290,96,323,54.2,16.4,22.9,"75% or more P.O.C.","Less than $38000"
"06019000901","Census Tract 9.01, Fresno County, California",2759,31823,19,423,0,581,0,1727,0.7,15.3,0,21.1,0,62.6,99.3,713,238,475,33.38,66.62,83,155,131,344,214,499,34.9,27.6,30,"75% or more P.O.C.","Less than $38000"
"06019000902","Census Tract 9.02, Fresno County, California",5191,20117,93,606,0,564,0,3800,1.8,11.7,0,10.9,0,73.2,98.2,1393,382,1011,27.42,72.58,130,252,361,650,491,902,34,35.7,35.2,"75% or more P.O.C.","Less than $38000"
"06019001000","Census Tract 10, Fresno County, California",4255,28971,74,929,13,596,0,2585,1.7,21.8,0.3,14,0,60.8,98.3,1020,349,671,34.22,65.78,111,238,280,391,391,629,31.8,41.7,38.3,"75% or more P.O.C.","Less than $38000"
"06019001100","Census Tract 11, Fresno County, California",2780,33650,70,550,2,27,0,2058,2.5,19.8,0.1,1,0,74,97.5,701,239,462,34.09,65.91,80,159,151,311,231,470,33.5,32.7,33,"75% or more P.O.C.","Less than $38000"
"06019001201","Census Tract 12.01, Fresno County, California",5935,40755,316,234,97,466,0,4812,5.3,3.9,1.6,7.9,0,81.1,94.7,1446,603,843,41.7,58.3,173,430,284,559,457,989,28.7,33.7,31.6,"75% or more P.O.C.","$38000 - $50000"
"06019001202","Census Tract 12.02, Fresno County, California",4561,39223,66,233,0,587,30,3645,1.4,5.1,0,12.9,0.7,79.9,98.6,1142,434,708,38,62,110,324,276,432,386,756,25.3,39,33.8,"75% or more P.O.C.","$38000 - $50000"
"06019001301","Census Tract 13.01, Fresno County, California",5342,28375,174,10,14,315,0,4803,3.3,0.2,0.3,5.9,0,89.9,96.7,1473,591,882,40.12,59.88,140,451,327,555,467,1006,23.7,37.1,31.7,"75% or more P.O.C.","Less than $38000"
"06019001303","Census Tract 13.03, Fresno County, California",2420,33590,28,244,17,400,0,1644,1.2,10.1,0.7,16.5,0,67.9,98.8,591,210,381,35.53,64.47,87,123,92,289,179,412,41.4,24.1,30.3,"75% or more P.O.C.","Less than $38000"
"06019001304","Census Tract 13.04, Fresno County, California",5383,26467,282,528,0,1124,0,3432,5.2,9.8,0,20.9,0,63.8,94.8,1433,318,1115,22.19,77.81,112,206,308,807,420,1013,35.2,27.6,29.3,"75% or more P.O.C.","Less than $38000"
"06019001407","Census Tract 14.07, Fresno County, California",4798,27258,465,556,24,840,0,2838,9.7,11.6,0.5,17.5,0,59.1,90.3,1606,241,1365,15.01,84.99,41,200,123,1242,164,1442,17,9,10.2,"75% or more P.O.C.","Less than $38000"
